row,job_title,status,failed_step,failed_reason,error_detail,screenshot,timestamp
1,Senior Software Engineer,PASS,,,,,2026-08-20 22:58:21
2,QA Automation Engineer,PASS,,,,,2026-08-20 22:59:21
